PATHWAY;FREQUENCY;GENES
ath00950;10;"1.4.3.21;2.6.1.5;4.1.1.28;AAT3;R04694;R05210;R05213;R05216;R05749;R07212"
ath00960;9;"1.4.3.21;2.6.1.5;2.6.1.9;AAT3;R00692;R00694;R01370;R02203;R07796"
ath00450;9;"1.8.1.9;2.1.1.12;2.5.1.48;4.4.1.13;6.1.1.10;APS2;R04770;R07229;R09365"
ath00460;9;"2.3.2.2;3.5.1.49;3.5.5.4;4.1.2.10;BGL42;GLYM1;R00485;R01408;R10638"
ath00592;9;"3.1.1.32;ACOX4;ADH1;AOC3;CP74A;LOX2;MFP2;OPR3;THIK2"
ath00591;9;"LOX1;LOX2;R03627;R05718;R05740;R07061;R07062;R09811;R09905"
ath00073;7;"1.14.14.80;1.2.1.84;2.3.1.188;CER1;PXG2;R02042;R09474"
ath00261;7;"1.17.1.8;4.3.3.7;AK1;APS2;R06626;R06632;R06633"
ath00430;7;"2.3.2.2;4.1.1.15;PCO1;R00396;R01684;R05651;R06980"
ath00945;5;"1.14.14.91;1.14.14.96;2.1.1.104;2.3.1.133;R09872"
ath00601;5;"R05978;R06027;R06032;R06169;R06170"
ath00908;4;"1.5.99.12;2.5.1.75;R07260;R08052"
ath01040;4;"3.1.2.2;R03814;R11059;R11060"
ath00603;4;"3.2.1.22;3.2.1.52;R05961;R05966"
ath00531;4;"3.2.1.23;3.2.1.52;R10830;R10905"
ath00072;3;"2.3.1.9;2.3.3.10;4.1.3.4"
ath00966;3;"2.6.1.42;C79B2;R10671"
ath00902;3;"4.2.3.108;4.2.3.15;4.2.3.25"
ec00970;3;"AT1G64160;AT3G13650;AT5G42510"
ath00901;3;"R01657;R10166;R11932"
ath00785;2;"2.3.1.181;2.8.1.8"
ath00563;2;"2.4.1.198;3.5.1.89"
ath00604;2;"3.2.1.23;3.2.1.52"
ath00965;2;"4.1.1.28;R00731"
